No,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,datetime
1,,-21,-11.0,1021.0,NW,1.79,0,0,2010-01-01 00:00:00
2,,-21,-12.0,1020.0,NW,4.92,0,0,2010-01-01 01:00:00
3,,-21,-11.0,1019.0,NW,6.71,0,0,2010-01-01 02:00:00
4,,-21,-14.0,1019.0,NW,9.84,0,0,2010-01-01 03:00:00
5,,-20,-12.0,1018.0,NW,12.97,0,0,2010-01-01 04:00:00
6,,-19,-10.0,1017.0,NW,16.1,0,0,2010-01-01 05:00:00
7,,-19,-9.0,1017.0,NW,19.23,0,0,2010-01-01 06:00:00
8,,-19,-9.0,1017.0,NW,21.02,0,0,2010-01-01 07:00:00
9,,-19,-9.0,1017.0,NW,24.15,0,0,2010-01-01 08:00:00
10,,-20,-8.0,1017.0,NW,27.28,0,0,2010-01-01 09:00:00
11,,-19,-7.0,1017.0,NW,31.3,0,0,2010-01-01 10:00:00
12,,-18,-5.0,1017.0,NW,34.43,0,0,2010-01-01 11:00:00
13,,-19,-5.0,1015.0,NW,37.56,0,0,2010-01-01 12:00:00
14,,-18,-3.0,1015.0,NW,40.69,0,0,2010-01-01 13:00:00
15,,-18,-2.0,1014.0,NW,43.82,0,0,2010-01-01 14:00:00
16,,-18,-1.0,1014.0,cv,0.89,0,0,2010-01-01 15:00:00
17,,-19,-2.0,1015.0,NW,1.79,0,0,2010-01-01 16:00:00
18,,-18,-3.0,1015.0,NW,2.68,0,0,2010-01-01 17:00:00
19,,-18,-5.0,1016.0,NE,1.79,0,0,2010-01-01 18:00:00
20,,-17,-4.0,1017.0,NW,1.79,0,0,2010-01-01 19:00:00
21,,-17,-5.0,1017.0,cv,0.89,0,0,2010-01-01 20:00:00
22,,-17,-5.0,1018.0,NW,1.79,0,0,2010-01-01 21:00:00
23,,-17,-5.0,1018.0,NW,2.68,0,0,2010-01-01 22:00:00
24,,-17,-5.0,1020.0,cv,0.89,0,0,2010-01-01 23:00:00
25,129.0,-16,-4.0,1020.0,SE,1.79,0,0,2010-01-02 00:00:00
26,148.0,-15,-4.0,1020.0,SE,2.68,0,0,2010-01-02 01:00:00
27,159.0,-11,-5.0,1021.0,SE,3.57,0,0,2010-01-02 02:00:00
28,181.0,-7,-5.0,1022.0,SE,5.36,1,0,2010-01-02 03:00:00
29,138.0,-7,-5.0,1022.0,SE,6.25,2,0,2010-01-02 04:00:00
30,109.0,-7,-6.0,1022.0,SE,7.14,3,0,2010-01-02 05:00:00
31,105.0,-7,-6.0,1023.0,SE,8.93,4,0,2010-01-02 06:00:00
32,124.0,-7,-5.0,1024.0,SE,10.72,0,0,2010-01-02 07:00:00
33,120.0,-8,-6.0,1024.0,SE,12.51,0,0,2010-01-02 08:00:00
34,132.0,-7,-5.0,1025.0,SE,14.3,0,0,2010-01-02 09:00:00
35,140.0,-7,-5.0,1026.0,SE,17.43,1,0,2010-01-02 10:00:00
36,152.0,-8,-5.0,1026.0,SE,20.56,0,0,2010-01-02 11:00:00
37,148.0,-8,-5.0,1026.0,SE,23.69,0,0,2010-01-02 12:00:00
38,164.0,-8,-5.0,1025.0,SE,27.71,0,0,2010-01-02 13:00:00
39,158.0,-9,-5.0,1025.0,SE,31.73,0,0,2010-01-02 14:00:00
40,154.0,-9,-5.0,1025.0,SE,35.75,0,0,2010-01-02 15:00:00
41,159.0,-9,-5.0,1026.0,SE,37.54,0,0,2010-01-02 16:00:00
42,164.0,-8,-5.0,1027.0,SE,39.33,0,0,2010-01-02 17:00:00
43,170.0,-8,-5.0,1027.0,SE,42.46,0,0,2010-01-02 18:00:00
44,149.0,-8,-5.0,1028.0,SE,44.25,0,0,2010-01-02 19:00:00
45,154.0,-7,-5.0,1028.0,SE,46.04,0,0,2010-01-02 20:00:00
46,164.0,-7,-5.0,1027.0,SE,49.17,1,0,2010-01-02 21:00:00
47,156.0,-8,-6.0,1028.0,SE,52.3,2,0,2010-01-02 22:00:00
48,126.0,-8,-6.0,1027.0,SE,55.43,3,0,2010-01-02 23:00:00
49,90.0,-7,-6.0,1027.0,SE,58.56,4,0,2010-01-03 00:00:00
50,63.0,-8,-6.0,1026.0,SE,61.69,5,0,2010-01-03 01:00:00
51,65.0,-8,-7.0,1026.0,SE,65.71,6,0,2010-01-03 02:00:00
52,55.0,-8,-7.0,1025.0,SE,68.84,7,0,2010-01-03 03:00:00
53,65.0,-8,-7.0,1024.0,SE,72.86,8,0,2010-01-03 04:00:00
54,83.0,-9,-8.0,1024.0,SE,76.88,9,0,2010-01-03 05:00:00
55,91.0,-10,-8.0,1024.0,SE,80.9,10,0,2010-01-03 06:00:00
56,86.0,-10,-9.0,1024.0,SE,84.92,11,0,2010-01-03 07:00:00
57,82.0,-10,-9.0,1024.0,SE,89.84,12,0,2010-01-03 08:00:00
58,86.0,-11,-9.0,1023.0,SE,93.86,13,0,2010-01-03 09:00:00
59,78.0,-11,-9.0,1023.0,SE,97.88,15,0,2010-01-03 10:00:00
60,98.0,-11,-9.0,1022.0,SE,102.8,16,0,2010-01-03 11:00:00
61,107.0,-11,-9.0,1021.0,SE,105.93,17,0,2010-01-03 12:00:00
62,90.0,-11,-9.0,1020.0,SE,111.74,19,0,2010-01-03 13:00:00
