No,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,datetime,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv
1,,-21,-11.0,1021.0,1.79,0,0,2010-01-01 00:00:00,False,True,False,False
2,,-21,-12.0,1020.0,4.92,0,0,2010-01-01 01:00:00,False,True,False,False
3,,-21,-11.0,1019.0,6.71,0,0,2010-01-01 02:00:00,False,True,False,False
4,,-21,-14.0,1019.0,9.84,0,0,2010-01-01 03:00:00,False,True,False,False
5,,-20,-12.0,1018.0,12.97,0,0,2010-01-01 04:00:00,False,True,False,False
6,,-19,-10.0,1017.0,16.1,0,0,2010-01-01 05:00:00,False,True,False,False
7,,-19,-9.0,1017.0,19.23,0,0,2010-01-01 06:00:00,False,True,False,False
8,,-19,-9.0,1017.0,21.02,0,0,2010-01-01 07:00:00,False,True,False,False
9,,-19,-9.0,1017.0,24.15,0,0,2010-01-01 08:00:00,False,True,False,False
10,,-20,-8.0,1017.0,27.28,0,0,2010-01-01 09:00:00,False,True,False,False
11,,-19,-7.0,1017.0,31.3,0,0,2010-01-01 10:00:00,False,True,False,False
12,,-18,-5.0,1017.0,34.43,0,0,2010-01-01 11:00:00,False,True,False,False
13,,-19,-5.0,1015.0,37.56,0,0,2010-01-01 12:00:00,False,True,False,False
14,,-18,-3.0,1015.0,40.69,0,0,2010-01-01 13:00:00,False,True,False,False
15,,-18,-2.0,1014.0,43.82,0,0,2010-01-01 14:00:00,False,True,False,False
16,,-18,-1.0,1014.0,0.89,0,0,2010-01-01 15:00:00,False,False,False,True
17,,-19,-2.0,1015.0,1.79,0,0,2010-01-01 16:00:00,False,True,False,False
18,,-18,-3.0,1015.0,2.68,0,0,2010-01-01 17:00:00,False,True,False,False
19,,-18,-5.0,1016.0,1.79,0,0,2010-01-01 18:00:00,True,False,False,False
20,,-17,-4.0,1017.0,1.79,0,0,2010-01-01 19:00:00,False,True,False,False
21,,-17,-5.0,1017.0,0.89,0,0,2010-01-01 20:00:00,False,False,False,True
22,,-17,-5.0,1018.0,1.79,0,0,2010-01-01 21:00:00,False,True,False,False
23,,-17,-5.0,1018.0,2.68,0,0,2010-01-01 22:00:00,False,True,False,False
24,,-17,-5.0,1020.0,0.89,0,0,2010-01-01 23:00:00,False,False,False,True
25,129.0,-16,-4.0,1020.0,1.79,0,0,2010-01-02 00:00:00,False,False,True,False
26,148.0,-15,-4.0,1020.0,2.68,0,0,2010-01-02 01:00:00,False,False,True,False
